UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3483318,7/14/2016,9:24,QUEENS,11367,40.7393843,-73.8226669,"(40.7393843, -73.8226669)",148 STREET,REEVES AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,,
3453679,5/31/2016,0:30,,,,,,MADISON STREET,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3535501,10/7/2016,8:10,,,40.8565383,-73.8725586,"(40.8565383, -73.8725586)",,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,OTHER VEHICULAR,FOLLOWING TOO CLOSELY,UNSPECIFIED,,
3403720,3/11/2016,14:40,QUEENS,11432,40.7151196,-73.7735714,"(40.7151196, -73.7735714)",188 STREET,HILLSIDE AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,SPORT UTILITY/STATION WAGON,,,,PRESCRIPTION MEDICATION,UNSPECIFIED,,,
3362524,12/30/2015,15:15,BROOKLYN,11229,40.6107138,-73.9557396,"(40.6107138, -73.9557396)",AVENUE P,EAST 18 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3580961,12/16/2016,9:00,,,40.7408987,-73.8210669,"(40.7408987, -73.8210669)",,,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,REACTION TO OTHER UNINVOLVED VEHICLE,FOLLOWING TOO CLOSELY,,,
3508075,8/26/2016,18:08,QUEENS,11426,,,,,,90-56     COMMONWEALTH BOULEVARD,1,0,3,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
3277849,8/14/2015,17:30,BRONX,10451,40.8197874,-73.9121585,"(40.8197874, -73.9121585)",BROOK AVENUE,EAST 156 STREET,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,,,
3184354,3/11/2015,17:20,BROOKLYN,11214,40.5836578,-73.9865462,"(40.5836578, -73.9865462)",BAY 52 STREET,CROPSEY AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3207858,4/22/2015,17:00,BROOKLYN,11201,40.6889031,-73.9809286,"(40.6889031, -73.9809286)",FLATBUSH AVENUE EXTENSION,FULTON STREET,,0,0,0,0,0,0,0,0,VAN,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
